Name of observation                                                                  Observation ID
CometC/2022E3(ZTF)                                                                   05000275001
CometC/2022E3(ZTF)                                                                   05000275002
CometC/2022E3(ZTF)                                                                   05000275003
C/2013X1Panstarrs                                                                    00034298001
Comet141P/Macholz2                                                                   00014180002
Comet8P/Tuttle                                                                       00031074001
Comet2013X1Panstarrs                                                                 00092802001
Comet2013X1Panstarrs                                                                 00092802002
Comet2013X1Panstarrs                                                                 00092802003
Comet141P/Macholz2                                                                   00014118001
C/2014E2(Jacques)                                                                    00033362001
C/2014E2(Jacques)                                                                    00033362002
C/2019Q4Borisov                                                                      00013165001
Comet73P/3-C                                                                         00030626001
C/2019Q4Borisov                                                                      00011801001
C/2017K2                                                                             05000234003
Comet73P/3-C                                                                         00030730001
Comet8P/Tuttle                                                                       00031049001
Comet8P/Tuttle                                                                       00031049002
Comet141P/Macholz2                                                                   00014193003
C/2019Y4ATLAS                                                                        00013378001
Comet73P/3-C                                                                         00030630001
SidingSpring(C/2013A1)                                                               00033200001
SidingSpring(C/2013A1)                                                               00033200002
SidingSpring(C/2013A1)                                                               00033200003
C/2019Q4Borisov                                                                      00013215001
C/2019Q4Borisov                                                                      00013215002
C/2019Q4Borisov                                                                      00013215003
C/2013X1PANSTARRS                                                                    00034612001
C/2013X1PANSTARRS                                                                    00034612002
Comet73P/3-C                                                                         00030585001
Comet2015V2Johnson                                                                   00034943001
Comet2015V2Johnson                                                                   00034943002
Comet2015V2Johnson                                                                   00034943003
Comet2015V2Johnson                                                                   00034943004
Comet2015V2Johnson                                                                   00034943005
Comet8P/Tuttle                                                                       00031066001
Comet8P/Tuttle                                                                       00031066002
C/2020F8SWAN                                                                         00013488001
C/2020F8SWAN                                                                         00013488002
C/2020F8SWAN                                                                         00013488003
C/2017K2                                                                             05000010001
CometC/2012K1(PANSTARRS)                                                             00033277001
CometC/2012K1(PANSTARRS)                                                             00033277002
C/2017K2                                                                             05000012003
CometC/2022E3(ZTF)                                                                   05000269001
CometC/2022E3(ZTF)                                                                   05000269002
CometC/2022E3(ZTF)                                                                   05000269003
C/2017K2                                                                             05000100001
CometC/2022E3(ZTF)                                                                   05000252003
C/2017K2                                                                             00095992002
Comet73P/3-C                                                                         00030573001
Comet73P/3-C                                                                         00030731001
C/2013X1Panstarrs                                                                    00034266001
C/2013X1Panstarrs                                                                    00034266002
C/2012K1(PANSTARRS                                                                   00091899001
C/2012K1(PANSTARRS                                                                   00091899002
Comet73P/3-C                                                                         00030713001
C/2009P1(GARRADD)                                                                    00091568001
C/2017K2                                                                             05000181001
C/2017K2                                                                             05000181002
C/2017K2                                                                             05000181003
C/2017K2                                                                             05000181004
C/2017K2                                                                             05000181005
COMET46P/WIRTANEN                                                                    00094397001
COMET46P/WIRTANEN                                                                    00094397004
COMET46P/WIRTANEN                                                                    00094397005
CometC/2012K1(PANSTARRS)                                                             00092001001
CometC/2012K1(PANSTARRS)                                                             00092001002
C/2017K2                                                                             05000218001
Comet73P/3-C                                                                         00030636001
C/2013A1(SidingSpring)                                                               00033431001
C/2013A1(SidingSpring)                                                               00033431002
Comet73P/3-C                                                                         00030446001
Comet73P/3-C                                                                         00030446002
2P/Encke_orb5_p1                                                                     00091784001
2P/Encke_orb5_p1                                                                     00091784002
C/2013A1SidingSpring                                                                 00033506001
C/2013A1SidingSpring                                                                 00033506002
C/2013A1SidingSpring                                                                 00033506003
CometC/2013US10(Catalina)                                                            00020405001
CometC/2013US10(Catalina)                                                            00020405002
CometC/2013US10(Catalina)                                                            00020405003
CometC/2012K1(PANSTARRS)                                                             00092028001
CometC/2012K1(PANSTARRS)                                                             00092028002
COMET46P/WIRTANEN                                                                    00094388001
COMET46P/WIRTANEN                                                                    00094388004
COMET46P/WIRTANEN                                                                    00094388005
C/2013X1panstarrs                                                                    00034081001
C/2013X1panstarrs                                                                    00034081002
C/2013X1panstarrs                                                                    00034081003
Comet73P/3-C                                                                         00030695001
Comet8P/Tuttle                                                                       00031032001
Comet8P/Tuttle                                                                       00031032002
Comet41P                                                                             00093556001
Comet41P                                                                             00093556002
C/2019Y4ATLAS                                                                        00013408001
C/2015V2(Johnson)                                                                    00010287001
C/2015V2(Johnson)                                                                    00010287005
C/2019Q4Borisov                                                                      00013027001
Comet8P/Tuttle                                                                       00031069001
Comet8P/Tuttle                                                                       00031069002
Comet103P/Hartley2                                                                   00031875001
Comet103P/Hartley2                                                                   00031875002
Comet73P/3-C                                                                         00030436001
Comet73P/3-C                                                                         00030436002
Comet73P/3-C                                                                         00030715001
C/2019Q4Borisov                                                                      00013234001
Comet46P/Wirtanen                                                                    00094427001
Comet46P/Wirtanen                                                                    00094427002
P/2006VW139                                                                          00032212001
P/2006VW139                                                                          00032212002
P/2006VW139                                                                          00032212003
Comet141P/Macholz2                                                                   00014153003
Comet8P/Tuttle                                                                       00031119001
Comet8P/Tuttle                                                                       00031119002
COMET46P/WIRTANEN                                                                    00094437001
COMET46P/WIRTANEN                                                                    00094437002
Comet73P/3-C                                                                         00030662001
CometC/2022E3(ZTF)                                                                   05000333001
CometC/2022E3(ZTF)                                                                   05000333002
CometC/2022E3(ZTF)                                                                   05000333003
CometC/2022E3(ZTF)                                                                   05000333004
CometC/2022E3(ZTF)                                                                   05000333005
CometC/2022E3(ZTF)                                                                   05000333006
C/2013A1SidingSpring                                                                 00092007001
C/2013A1SidingSpring                                                                 00092007002
Comet73P/3-C                                                                         00030635001
C/2017K2                                                                             05000185001
C/2017K2                                                                             05000185002
C/2017K2                                                                             05000185003
C/2017K2                                                                             05000185004
C/2017K2                                                                             05000185005
C/2017K2                                                                             05000185006
C/2015V2(Johnson)                                                                    00010212001
C/2015V2(Johnson)                                                                    00010212002
C/2015V2(Johnson)                                                                    00010212003
C/2015V2(Johnson)                                                                    00010212004
C/2015V2(Johnson)                                                                    00010212005
2P/Encke_orb6_p2                                                                     00091787001
2P/Encke_orb6_p2                                                                     00091787002
2P/Encke_orb6_p2                                                                     00091787003
Comet29P/Schwassmann-Wachmann1                                                       00031620001
Comet29P/Schwassmann-Wachmann1                                                       00031620002
Comet103P/Hartley2                                                                   00031876001
Comet41P                                                                             00010087001
Comet41P                                                                             00010087002
Comet73P/3-C                                                                         00030726001
C/2015V2Johnson                                                                      00094268002
Comet103P/Hartley2                                                                   00031879001
Comet103P/Hartley2                                                                   00031879002
Comet46P/Wirtanen                                                                    00094425001
Comet46P/Wirtanen                                                                    00094425002
Comet29P/Schwassmann-Wachmann1                                                       00031621001
Comet29P/Schwassmann-Wachmann1                                                       00031621002
CometC2012S1(ISON)                                                                   00033028001
CometC2012S1(ISON)                                                                   00033028002
CometC2012S1(ISON)                                                                   00033028003
Comet73P/3-C                                                                         00030407001
Comet73P/3-C                                                                         00030407002
C/2015V2Johnson                                                                      00094255001
Comet41P                                                                             00010114001
Comet41P                                                                             00010114002
Comet41P                                                                             00010114003
Comet41P                                                                             00010114004
Comet41P                                                                             00010114005
C/2019Y4ATLAS                                                                        00013324001
C/2019Y4ATLAS                                                                        00013388001
PANSTARRS(C/2012K1)                                                                  00033185001
Comet8P/Tuttle                                                                       00031083001
C/2017K2                                                                             05000225001
C/2017K2                                                                             05000280002
C/2017K2                                                                             05000280003
C/2017K2                                                                             05000280004
C/2017K2                                                                             05000280005
C/2017K2                                                                             05000280006
C/2019Q4Borisov                                                                      00012372002
C/2015VL62                                                                           00010138001
C/2019Y4ATLAS                                                                        00013336001
C/2017K2                                                                             05000014001
CometLulin                                                                           00031336001
COMET46P/WIRTANEN                                                                    00094383002
CometP/2016BA14Orbit3                                                                00034454001
CometP/2016BA14Orbit3                                                                00034454002
CometP/2016BA14Orbit3                                                                00034454003
CometC/2022E3(ZTF)                                                                   05000268001
CometC/2022E3(ZTF)                                                                   05000268002
CometC/2022E3(ZTF)                                                                   05000268003
C/2017K2                                                                             00096012002
C/2013A1SidingSpring                                                                 00092011001
C/2019Y4ATLAS                                                                        00013418001
CometC/2022E3(ZTF)                                                                   05000250001
C/2012K1PANSTARRS                                                                    00092018001
C/2012K1PANSTARRS                                                                    00092018002
Comet73P/3-C                                                                         00030598001
2P/Encke_orb12_p1                                                                    00091798001
2P/Encke_orb12_p1                                                                    00091798002
Comet22P/Kopff                                                                       00031499001
Comet22P/Kopff                                                                       00031499002
C/2019Y4ATLAS                                                                        00013390003
CometC/2013US10Catalina                                                              00033757002
CometC/2013US10Catalina                                                              00033757003
CometC/2013US10Catalina                                                              00033757004
CometC/2012(ISON)                                                                    00033031001
CometC/2012(ISON)                                                                    00033031002
CometC/2012(ISON)                                                                    00033031003
CometC/2012(ISON)                                                                    00033031004
CometC/2022E3(ZTF)                                                                   05000255002
CometP/2010A2(LINEAR)                                                                00031609001
C/2017K2                                                                             00096009003
C/2015V2(Johnson)                                                                    00010213001
C/2015V2(Johnson)                                                                    00010213002
Comet73P/3-C                                                                         00030709001
C/2019Q4Borisov                                                                      00012137001
C/2013US10(Catalina)                                                                 00034421001
C/2013US10(Catalina)                                                                 00034421002
C/2013US10(Catalina)                                                                 00034421003
C/2013US10(Catalina)                                                                 00034421004
C/2013US10(Catalina)                                                                 00034421005
C/2017K2                                                                             05000278001
C/2017K2                                                                             05000278002
C/2017K2                                                                             05000278003
C/2017K2                                                                             05000278004
C/2017K2                                                                             05000278005
C/2017K2                                                                             05000278006
2P/Encke_orb13_p2                                                                    00091801001
2P/Encke_orb13_p2                                                                    00091801002
2P/Encke_orb13_p2                                                                    00091801003
Comet2015V2Johnson                                                                   00034822001
Comet2015V2Johnson                                                                   00034822002
Comet2015V2Johnson                                                                   00034822003
Comet2015V2Johnson                                                                   00034822004
Comet2015V2Johnson                                                                   00034822005
C/2013US10CatalinaOrbit4Ptg2                                                         00034320001
CometVL62                                                                            00010202001
CometVL62                                                                            00010202002
CometVL62                                                                            00010202003
Comet8P/Tuttle                                                                       00031132001
Comet8P/Tuttle                                                                       00031132002
CometC/2011W3Lovejoy                                                                 00032261001
CometC/2011W3Lovejoy                                                                 00032261002
CometC/2012K1(PANSTARRS)                                                             00032851002
Comet73P/3-C                                                                         00030590001
C/2019Y4ATLAS                                                                        00013436001
C/2015VL62                                                                           00094156003
C/2015V2(Johnson)                                                                    00010280001
C/2019Q4Borisov                                                                      00011798001
Comet Holmes                                                                         00030990001
C/2019Y4ATLAS                                                                        00013461002
C/2013X1Panstarrs                                                                    00034240001
C/2013X1Panstarrs                                                                    00034240002
C/2013X1Panstarrs                                                                    00034240003
C/2013X1Panstarrs                                                                    00034240004
C/2013X1Panstarrs                                                                    00034240005
C/2012K1(PanSTARRS)                                                                  00092016001
C/2012K1(PanSTARRS)                                                                  00092016002
CometC/2013A1SidingSprings                                                           00033149001
CometC/2013A1SidingSprings                                                           00033149002
CometC/2013A1SidingSprings                                                           00033149003
2P/Encke_orb2_p1                                                                     00091778001
2P/Encke_orb2_p1                                                                     00091778002
COMET46P/WIRTANEN                                                                    00094392002
C/2019Q4Borisov                                                                      00012368002
C/2019Q4Borisov                                                                      00012976002
Comet8P/Tuttle                                                                       00031131001
Comet8P/Tuttle                                                                       00031131002
COMET46P/WIRTANEN                                                                    00094464001
C/2017K2                                                                             05000222005
C/2015V2Johnson                                                                      00010011001
Comet73P/3-C                                                                         00030618001
Comet8P/Tuttle                                                                       00031101001
CometC/2012K1(Panstarrs)                                                             00034038001
CometC/2012K1(Panstarrs)                                                             00034038002
CometC/2012K1(Panstarrs)                                                             00034038003
Comet41P                                                                             00010093001
Comet41P                                                                             00010093002
C/2017K2                                                                             05000036003
Comet22P/Kopff                                                                       00031447001
Comet22P/Kopff                                                                       00031447002
CometP/2016BA14Orbit2                                                                00034453001
CometP/2016BA14Orbit2                                                                00034453002
CometP/2016BA14Orbit2                                                                00034453003
CometC/2022E3(ZTF)                                                                   05000334001
CometC/2022E3(ZTF)                                                                   05000334002
CometC/2022E3(ZTF)                                                                   05000334003
CometC/2022E3(ZTF)                                                                   05000334004
CometC/2022E3(ZTF)                                                                   05000334005
CometC/2022E3(ZTF)                                                                   05000334006
CometC/2022E3(ZTF)                                                                   05000296001
CometC/2022E3(ZTF)                                                                   05000296002
CometC/2022E3(ZTF)                                                                   05000296003
CometC/2022E3(ZTF)                                                                   05000296004
CometC/2022E3(ZTF)                                                                   05000296005
CometC/2022E3(ZTF)                                                                   05000296006
CometC/2009P1(Garradd)                                                               00091530001
CometC/2009P1(Garradd)                                                               00091530002
C/2015V2Johnson                                                                      00094288002
C/2013US10(Catalina)                                                                 00034024001
CometP/2010A2(LINEAR)                                                                00031596001
CometP/2010A2(LINEAR)                                                                00031596002
2P/Encke                                                                             00091775001
2P/Encke                                                                             00091775002
2P/Encke                                                                             00091775003
2P/Encke                                                                             00091775004
CometC/2012K1Panstarrs                                                               00033817001
CometC/2012K1Panstarrs                                                               00033817002
CometC/2012K1Panstarrs                                                               00033817003
CometC/2012K1Panstarrs                                                               00033817004
C/2019Q4Borisov                                                                      00012121001
Comet141P/Macholz2                                                                   00014152002
C/2015VL62                                                                           00093582001
C/2015VL62                                                                           00093582002
C/2015VL62                                                                           00093582003
COMET46P/WIRTANEN                                                                    00094389002
CometHolmes                                                                          00030996001
Comet141P/Macholz2                                                                   00014159001
C/2019Q4Borisov                                                                      00013029003
Comet2013A1SidingSpring                                                              00033065001
Comet2013A1SidingSpring                                                              00033065002
Comet2013A1SidingSpring                                                              00033065003
C/2017K2                                                                             05000219002
CometGarradd                                                                         00091578001
CometC/2012(ISON)                                                                    00033030001
C/2017K2                                                                             05000019002
C/2013A1SidingSprings                                                                00033620001
C/2013A1SidingSprings                                                                00033620002
C/2013A1SidingSprings                                                                00033620003
C/2013A1SidingSprings                                                                00033620004
C/2013A1SidingSprings                                                                00033476001
C/2013A1SidingSprings                                                                00033476002
C/2015V2Johnson                                                                      00094300002
C/2009P1(GARRADD)                                                                    00091566001
Comet64P/Swift-Gehrels                                                               00010823003
C/2019Y4ATLAS                                                                        00013453002
PANSTARRS(C/2012K1)                                                                  00032903001
PANSTARRS(C/2012K1)                                                                  00032903002
C/2012K1PANSTARRS                                                                    00092023001
22P/Kopff                                                                            00031505001
CometCatalinaOrbit2                                                                  00034471001
C/2019Q4Borisov                                                                      00013138001
Comet73P/3-C                                                                         00030649001
CometP/2010A2(LINEAR)                                                                00031595001
CometP/2010A2(LINEAR)                                                                00031595002
C/2019Y4ATLAS                                                                        00013424001
Comet88P/Howell                                                                      00013829001
C/2017K2                                                                             00095960003
Comet88P/Howell                                                                      00013773001
Comet88P/Howell                                                                      00013773002
C/2017K2                                                                             05000226002
Comet41P                                                                             00010112001
Comet41P                                                                             00010112002
Comet41P                                                                             00010112003
Comet41P                                                                             00010112004
Comet41P                                                                             00010112005
CometC/2013X1PANSTARRS                                                               00034530001
CometC/2013X1PANSTARRS                                                               00034530002
Comet9P/Tempel1                                                                      00091201001
Comet9P/Tempel1                                                                      00091201002
C/2013X1Panstarrs                                                                    00034159001
C/2013X1Panstarrs                                                                    00034159002
CometLulin                                                                           00031353001
COMET46P/WIRTANEN                                                                    00094407002
C/2013US10Catalina                                                                   00034688001
C/2013US10Catalina                                                                   00034688002
C/2013US10Catalina                                                                   00034688003
C/2019Y4ATLAS                                                                        00013359002
C/2014E2(Jacques)                                                                    00033365001
